refdes, device, footprint, value, VBUS, symversion
C22., CAPACITOR, SMD_CHIP 603, 10 \316\274F, , 0.1
C23., CAPACITOR, SMD_CHIP 603, 0.1 \316\274F, , 0.1
D2, BAS16, 0402, , , 
J1, DB9, DB9F, , , 
J2, CONNECTOR_5, MOLEX-5X1, , , 
J5, DB37, DB37F, , , 
J6, HEADER16, HEADER16_2, , , 
J7, HEADER16, HEADER16_2, , , 
R6, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, , 
R8, RESISTOR, SMD_CHIP 603, 10k \342\204\246, , 
R9, RESISTOR, SMD_CHIP 603, 10k \342\204\246, , 
R45, RESISTOR, SMD_CHIP 603, 0 \342\204\246, , 
R120, RESISTOR, SMD_CHIP 603, 2.2k \342\204\246, , 
U5., XN04312, TSOP6, , , 
X1., 84 MHz, OSC_2.5X2, , , 
