refdes, device, footprint, value
R111, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R112, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R113, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R114, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R115, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R116, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R117, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R118, RESISTOR, SMD_CHIP 603, 0 \342\204\246
R119, RESISTOR, SMD_CHIP 603, 0 \342\204\246
U4., MICROSD, MICROSD, 
U17., MICROSD, MICROSD, 
U18., MICROSD, MICROSD, 
U19., MICROSD, MICROSD, 
