refdes, device, footprint, value, C49, D9, VBUS, symversion
C1., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C2., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C3., CAPACITOR, SMD_CHIP 603, 10\316\274F, , , , 0.1
C4., CAPACITOR, SMD_CHIP 603, , 22\316\274F, , , 0.1
C51., CAPACITOR, SMD1010, 100\316\274F, , , , 0.1
C52., CAPACITOR, SMD_CHIP 603, 0.1\316\274F, , , , 0.1
C53., CAPACITOR, SMD-6_3-DIA, 100\316\274F, , , , 0.1
C54., CAPACITOR, SMD_CHIP 603, 100\316\274F, , , , 0.1
C55., CAPACITOR, SMD_CHIP 603, 100\316\274F, , , , 0.1
C56., CAPACITOR, SMD_POLAR 120 60, 10\316\274F, , , , 0.1
C57., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C76., CAPACITOR, SMD_CHIP 603, 10\316\274F, , , , 0.1
C77., CAPACITOR, SMD_CHIP 603, 10\316\274F, , , , 0.1
C78., CAPACITOR, SMD_CHIP 603, 10\316\274F, , , , 0.1
C79., CAPACITOR, SMD_CHIP 603, 10\316\274F, , , , 0.1
C82., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C83., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C84., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C85., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C86., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
C87., CAPACITOR, SMD_CHIP 603, 1\316\274F, , , , 0.1
D1, LED, 0805, , , Green, , 
D10., DIODE, DO214AB, , , , , 
L1., INDUCTOR, SMD_CHIP 603, 600\342\204\246  500mA, , , , 0.1
L5., INDUCTOR, 0805, 100 \316\274H, , , , 0.1
L6., INDUCTOR, 0805, 0.47\316\274H, , , , 0.1
R1, RESISTOR, SMD_CHIP 603, 0\342\204\246, , , , 
R2, RESISTOR, SMD_CHIP 603, 100\342\204\246, , , , 
R3, RESISTOR, SMD_CHIP 603, 1\342\204\246, , , , 
R4, RESISTOR, SMD_CHIP 603, 1k\342\204\246, , , , 
R55, RESISTOR, SMD_CHIP 603, 100k\342\204\246, , , , 
R56, RESISTOR, SMD_CHIP 603, 10.2k\342\204\246, , , , 
R57, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R58, RESISTOR, SMD_CHIP 603, 10k\342\204\246, , , , 
R59, RESISTOR, SMD_CHIP 603, 15k\342\204\246, , , , 
R60, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R61, RESISTOR, SMD_CHIP 603, 1.5k\342\204\246, , , , 
R62, RESISTOR, SMD_CHIP 603, 15k\342\204\246, , , , 
R63, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R64, RESISTOR, SMD_CHIP 603, 50k\342\204\246, , , , 
R65, RESISTOR, SMD_CHIP 603, 16.5k\342\204\246, , , , 
R66, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R67, RESISTOR, SMD_CHIP 603, 1.5k\342\204\246, , , , 
R68, RESISTOR, SMD_CHIP 603, 15k\342\204\246, , , , 
R69, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R70, RESISTOR, SMD_CHIP 603, 1.5k\342\204\246, , , , 
R71, RESISTOR, SMD_CHIP 603, 15k\342\204\246, , , , 
R72, RESISTOR, SMD_CHIP 603, 220k\342\204\246, , , , 
R109, RESISTOR, SMD_CHIP 603, 0\342\204\246, , , , 
R110, RESISTOR, SMD_CHIP 603, 47k\342\204\246, , , , 
U1., TLV1117, TO-261-4, , , , , 
U2., LP38692, TO-261-5, , , , , 
U7, LM2576T, TO-263-5, , , , , 
U8., PDQ30D, DIP-6, , , , , 
U14., LP38692, TO-261-5, , , , , 
U15., LP38692, TO-261-5, , , , , 
